,title,department,location,employment_type,review_star,review_number,salary_value,salary_unit,state,description,annual_salary
0,relief admin myob data entry,,mourilyan qld 4858,temporary,,,,,qld,"must have myob experienceattention to detail and accuracyunderstand chart of accounts, job costingunderstand basic dr and cr entry journalsbe able to work unsupervisedjob type: temporaryexperience:myob: 3 years (preferred)",
1,reception / admin,lj hooker hampton park,melbourne vic,,3.7,90.0,42500.0,year,vic,"our award winning team is very driven, enthusiastic and well rewarded which is why it is so important to us to find someone who is passionate, hardworking, has a strong focus on customer service and gets a buzz out of working in a team. located in a modern office in hampton park, you will be the first to greet our clients over the phone and face to face.the role of receptionist is responsible for:answering telephone calls, internet enquiries and front desk enquiriesreceipting rent paymentscollection of information and documentation from new and existing clientskeeping the front reception area presentable and tidy at all timescreating, entering and making changes to data in our sales and property management systemsprocessing daily mailthe successful applicant must have excellent typing and communication skills. must be calm and methodical under pressure, have a pleasant, happy personality and be well presented. experience in the real estate industry in a similar role is an advantage, however not necessary - we are happy to train the right person. a current drivers licence and agents representative certificate is a requirement for this role.this full-time position has potential to lead to further career opportunities for a motivated and committed individual.all applications will be handled with confidentiality.job type: full-timesalary: $35,000.00 to $50,000.00 /yearexperience:receptionist: 2 years (preferred)work eligibility:the candidate can work permanently with no restriction on hours (preferred)",42500.0
2,technology specialist- data vault,cognizant technology solutions,melbourne vic,,3.9,11633.0,124500.0,year,vic,"about cognizantcognizant (nasdaq-100: ctsh) is one of the world\'s leading professional services companies, transforming clients\' business, operating and technology models for the digital era. our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. headquartered in the u.s., cognizant is ranked 195 on the fortune 500 and is consistently listed among the most admired companies in the world. learn how cognizant helps clients lead with digital at www.cognizant.com or follow us @cognizantour cultureyour passion, integrity and experience are integral to cognizant\'s success. you will be welcomed into a dynamic and expanding global leader in it and business consultancy where you will be valued for who you are. we take pride in our partnership with our clients, so your ability to add value and provide exceptional service to our clients are fundamental to your success. in return, you will be empowered with opportunities and support to develop your career and collaborate with people focused on innovation and ideas.responsibilities: responsible for manage a full data vault project.responsible for developing conceptual and logical model and translate into one or more physical databases, and determine data flow and data mapping through the successive stagesresponsible for work in finance business reporting on aggregation stores that can work to build an independent view on data vaultsfor stakeholder engagement and requirement gathering and clarification for teamfor query optimization & performance tuning.mandatory skills: data vault certified professionalgood to have scaled agile knowledgedata analysisdata modelling experiencedatabase designerdata warehouse design experience.qualifications & certifications: certified data vault 2.0 professionalcertified scaled agilest (sa) 4.5itil certified professional.next stepsif you would like to express interest in role, please click on the apply button now. due to a high number of applicants, only shortlisted candidates will be contacted for a further discussion within 3-5 business days. we thank you for taking interest in this opportunity with us. for a complete list of opportunities with cognizant visit http://www.cognizant.com/careerscognizant is committed to providing equal employment opportunities. successful candidate will be required to undergo a background check.job type: full-timesalary: $100,000.00 to $149,000.00 /year",124500.0
3,deployment engineer,,coffs harbour nsw,"contract, casual, subcontract",,,30.0,hour,nsw,"muscatech is looking for subcontractors and candidates who will be available to assist us on a casual basis with delivering an upcoming hardware refresh project.the role will involve replacing existing computers with new hardware, and perform in place upgrades of some computers from windows 7 to windows 10. the desktop deployment engineer will also be responsible for migrating user’s data, installing applications and providing general end user support for windows 10.minimum education:diploma of information technology oradvanced diploma of computer systems engineering orany previous experience applicable to the advertised rolegeneral technical skills required:level 1 & 2 support for windows 7 and 10.level 1 & 2 hardware support for desktop, notebook, thin client and tablet computers.level 1 & 2 software support for applications such as microsoft officeprevious experience utilising the sccm configuration manager and the sccm software centre on end point devices is strongly desired.other functions required as part of the role:prioritise new support requests and existing work orders, provide timely and effective technical support as required.document any issues identified during and after deployments & installations.document any solutions as required and notify relevant personnel.record and maintain accurate service details, time records and job notes.maintain awareness and active involvement in safety in order to prevent injuries to yourself, colleagues and customers.work within the time limits as assigned for specific tasks.good spoken and written communication abilities.current police checks may be required by some customers.excellent customer service skills.general personal skills required:the right attitude – can do, friendly, approachable, flexible, a team player.ability to work independently or as a member of a team where required.well organised.leaders – we are looking for staff that are able to lead small teams of technicians while onsite.current drivers licence and own vehicle.job types: contract, casual, subcontractsalary: $30.00 to $35.00 /hourexperience:it support: 1 year (preferred)work eligibility:the candidate can work temporarily with no restriction on hours (preferred)",60000.0
4,it business analyst,marshall mcadam,melbourne city centre vic,contract,5.0,4.0,,,vic,"expressions of interest for it business analyst positions: marshall mcadam is a leading specialist recruitment firm that provides contract and permanent recruitment services across technology & finance portfolios. our team of technology consultants specialise in securing great contract and permanent employment opportunities for a wide range of it roles including business analysis professionals. we have access to a wide variety of sectors and maintain long lasting relationships with reputable employers including asx listed, national, global and sme companies. we are currently seeking expressions of interest from it business analysts of all levels for contract employment opportunities. whether you\'re immediately seeking a new employment opportunity or considering your future options, we would be delighted to hear from you. to register your details please click on the apply now button below",
5,research assistant - data entry,monash health,clayton vic,"part-time, contract",4.2,51.0,,,vic,"research assistant - haematology research, monash health fixed term part time position (3 days per week - tuesday, thursday, friday) monash medical centre, clayton about monash health monash health is an impressive organisation of seven public hospitals, 21 community health sites, five aged care facilities, university affiliated international research and tertiary education. we provide healthcare for the entire lifespan from pre-birth to palliative care and all stages in between, and we have recently opened the new 230-bed monash children’s hospital. about the role the haematology research unit at monash medical centre is continuing to grow. we are seeking a motivated and highly competent team member, with medical (preferably haematology) experience or knowledge or keen interest, who would be responsible for data entry for various haematological clinical trials being run within our unit. the successful applicant would also help with maintaining a diagnostic imaging database, assist with study archiving and general office duties. would you like to join our team? how to apply monash health recognises the value of equal employment opportunity and is committed to patient safety and promoting fairness, equity and diversity in the workplace. at monash health we are relentless in our pursuit of excellence and work to our six guiding principles. preferred candidates will require a clear police check and a current working with children’s check prior to any offers of employment being made. as part of our selection process, you may be invited by email to participate in an on-camera video interview. please note, applications will be accepted via the monash health online mercury system only. email applications will not be considered.",
6,clerical/data entry,,melbourne vic,,,,,,vic,"clerical/data entry workers provide general office support that assists in the functioning of a company. they might work directly under an administrative assistant and be assigned basic tasks, such as filing or answering phones",
7,startup intern (data entry),,sydney nsw,contract,,,20.0,hour,nsw,"who are we?we are a sydney based tech-startup that connects office administrators to quality local suppliers in sydney & melbourne through an intuitive b2b marketplace. we provide a set of free pre-purchase and post-purchase workflow tools to help hundreds of corporate offices save time and effort with all their office purchases including catering, pantry supplies, gifts and event services all in a single platform.about the role: our marketplace supports two key stakeholders – customers & vendors. we are currently expanding our services and aim to launch new vendor features as we continue to grow. we are seeking an intern that will work alongside our operations and sales team, and you will be responsible for building an awesome customer experience by maintaining a high integrity of vendor menu’s over 8 weeks with a possibility of extending.core duties will include: - building vendor menu’s based on a back-log of new vendor acquisition- update existing vendor menu’s by updating imagery, diet tags and new menu items- reconfiguring vendor menu’s through a number of promotions and calendar events- cleansing of existing vendor information/datarequirements: - knowledge of microsoft office suite (excel, outlook, word)- understanding of cloud technology and cloud based tools- high competency with computers and windows os- very high attention to detail- ability to learn fast and develop new skillsqualifications & preferred experience: - completed year 12 maths & english (required)- ability to work at least 15 - 37.5 hours per week- friendly, personable & positive- quick thinker & multi-taskernice to haves: - computer science background- genuine interest in tech and digital space- knowledge in digital marketing- experience in working in a small business/start-up environmentjob type: contractsalary: $20.00 to $22.00 /hourexperience:data entry: 1 year (preferred)work eligibility:the candidate can work temporarily with restriction on hours (preferred)",40000.0
8,data analyst (multiple roles),essential services commission,melbourne city centre vic,,,,,,vic,"the roles are responsible for managing, analysing and presenting data used in commission reports and decisions, and providing advice and recommendations on matters of regulatory interest. you will draw on your expertise using excel or other applications to support a range of projects, including price reviews, performance and customer outcomes reporting, and reviews of regulatory proposals and accounts. you will also develop and implement quality assurance processes to support data accuracy. the recruitment process will be used to create an applicant order of merit, which will also be used to fill similar positions for a period of up to six months following the closing date for applications (note that all applicant information will be destroyed after this six month period). additional information on the role is contained in the attached position description. applications must be made through the vps careers website by midnight, 20 august 2019. for further information regarding the role please contact jaawid nazeer on (03) 9032 1300. about us the essential services commission is victoria\'s independent economic regulator of essential services supplied by a range of industries. the commission\'s functions include: • making regulatory decisions with respect to prescribed industries (including price determinations, licensing, customer protection and access disputes); • undertaking reviews and providing advice to ministers on a range of economic and regulatory matters; and• administering the victorian energy upgrades program. be part of a highly respected and professional organisation that allows you to apply your knowledge while offering flexible working options and opportunities for professional growth. you\'ll be working in a dynamic and collaborative environment with opportunities to undertake stimulating work. how to apply please include the following in your application: • a professional cover letter outlining your skills, knowledge and experience relating to this opportunity; • a current resume; and • a separate document addressing each of the key selection criteria, with each response limited to one paragraph per criteria. please note this role will be subject to the receipt of a satisfactory criminal records check and qualification check. you can apply by selecting the “apply now” button. the essential services commission is an equal employment opportunity employer committed to fairness, diversity and respect. as such, the commission will respond to requests for reasonable adjustments from applicants with disabilities. we look forward to receiving your application.",
9,data linkage officer,queensland government,brisbane qld,temporary,4.1,57.0,,,qld,"the following mandatory requirements, special conditions and/or other requirements apply to this role: the incumbent may be required to travel on official business and the possession of a c class driver\'s licence may be required.we are seeking applicants who, within the context of the role responsibilities, possess the following key attributes: demonstrated skills and attention to detail appropriate to the efficient and accurate clerical review and/or processing of client dataknowledge, or the ability to rapidly acquire knowledge, of computer operations and packages.demonstrated ability to prioritise tasks and effectively monitor and coordinate staff to achieve outcomes and meet deadlines.well-developed communication skills to enable effective interaction in individual and group situations.basic skills in the use of oracle sql and/or sas to interrogate relational datasets.personal qualities of reliability in meeting deadlines and commitments, and integrity with respect to confidentiality of departmental and client interests.applications to remain current for 12 months.this work is licensed under a creative commons attribution 3.0 australia license.",
